description,word_no,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,word_frequency
foot,757,5.0199999999999996,0.93000000000000005,3.27,1.98,4.9800000000000004,1.4199999999999999,70
fork,560,5.29,0.96999999999999997,3.96,1.9399999999999999,5.7400000000000002,1.52,14
frog,176,5.71,1.74,4.54,2.0299999999999998,5.3399999999999999,1.96,1
gender,763,5.7300000000000004,1.55,4.3799999999999999,2.1299999999999999,5.5999999999999996,1.8400000000000001,2
glacier,186,5.5,1.25,4.2400000000000002,2.29,4.9199999999999999,2.1200000000000001,1
glass,765,4.75,1.3799999999999999,4.2699999999999996,2.0699999999999998,5.0,1.46,99
golfer,535,5.6100000000000003,1.9299999999999999,3.73,2.2599999999999998,5.5499999999999998,1.79,3
hairdryer,561,4.8399999999999999,0.83999999999999997,3.71,1.75,5.5700000000000003,1.27,.
hairpin,776,5.2599999999999998,1.45,3.27,2.4100000000000001,5.0499999999999998,1.3200000000000001,1
hammer,198,4.8799999999999999,1.1599999999999999,4.5800000000000001,2.02,4.75,1.8799999999999999,9
hand,778,5.9500000000000002,1.3799999999999999,4.4000000000000004,2.0699999999999998,5.3499999999999996,1.49,431
hard,781,5.2199999999999998,1.8200000000000001,5.1200000000000001,2.1899999999999999,5.5899999999999999,1.6299999999999999,202
hat,783,5.46,1.3600000000000001,4.0999999999999996,2.0,5.3899999999999997,1.4299999999999999,56
hawk,536,5.8799999999999999,1.6200000000000001,4.3899999999999997,2.29,5.5,1.6899999999999999,14
hay,784,5.2400000000000002,1.24,3.9500000000000002,2.5800000000000001,5.3700000000000001,1.6399999999999999,19
headlight,785,5.2400000000000002,1.51,3.8100000000000001,2.2200000000000002,4.8799999999999999,1.47,.
highway,562,5.9199999999999999,1.72,5.1600000000000001,2.4399999999999999,5.6600000000000001,1.8100000000000001,40
history,208,5.2400000000000002,2.0099999999999998,3.9300000000000002,2.29,4.8300000000000001,2.0800000000000001,286
horse,214,5.8899999999999997,1.55,3.8900000000000001,2.1699999999999999,4.6699999999999999,1.6000000000000001,117
hotel,795,6.0,1.77,4.7999999999999998,2.5299999999999998,5.1200000000000001,1.8400000000000001,126
humble,219,5.8600000000000003,1.4199999999999999,3.7400000000000002,2.3300000000000001,4.7599999999999998,2.25,18
hydrant,564,5.0199999999999996,0.93000000000000005,3.71,1.75,5.5300000000000002,1.3,.
icebox,799,4.9500000000000002,1.0,4.1699999999999999,2.1099999999999999,5.0499999999999998,1.05,3
indifferent,810,4.6100000000000003,1.28,3.1800000000000002,1.8500000000000001,4.8399999999999999,1.6699999999999999,11
industry,227,5.2999999999999998,1.6100000000000001,4.4699999999999998,2.4300000000000002,4.9100000000000001,2.04,171
inhabitant,813,5.0499999999999998,1.3400000000000001,3.9500000000000002,1.97,5.3700000000000001,1.4299999999999999,.
ink,229,5.0499999999999998,0.81000000000000005,3.8399999999999999,1.8799999999999999,4.6100000000000003,2.1299999999999999,7
invest,824,5.9299999999999997,2.1000000000000001,5.1200000000000001,2.4199999999999999,5.8799999999999999,1.95,3
iron,565,4.9000000000000004,1.02,3.7599999999999998,2.0600000000000001,5.0999999999999996,1.27,43
item,825,5.2599999999999998,0.85999999999999999,3.2400000000000002,2.0800000000000001,5.2599999999999998,1.6699999999999999,54
jelly,238,5.6600000000000001,1.4399999999999999,3.7000000000000002,2.29,4.5300000000000002,1.77,3
journal,828,5.1399999999999997,1.49,4.0499999999999998,1.96,5.2599999999999998,1.4199999999999999,42
jug,829,5.2400000000000002,1.6499999999999999,3.8799999999999999,2.1499999999999999,5.0499999999999998,1.6200000000000001,6
kerchief,830,5.1100000000000003,1.3300000000000001,3.4300000000000002,2.0800000000000001,5.25,1.28,1
kerosene,243,4.7999999999999998,1.5900000000000001,4.3399999999999999,2.5099999999999998,4.6299999999999999,1.99,6
ketchup,831,5.5999999999999996,1.3500000000000001,4.0899999999999999,2.0800000000000001,5.29,1.8100000000000001,1
kettle,832,5.2199999999999998,0.91000000000000003,3.2200000000000002,2.23,5.0,1.3999999999999999,3
key,833,5.6799999999999997,1.6200000000000001,3.7000000000000002,2.1800000000000002,4.9800000000000004,2.04,88
knot,836,4.6399999999999997,1.3600000000000001,4.0700000000000003,2.1499999999999999,4.6699999999999999,1.6499999999999999,8
lamb,837,5.8899999999999997,1.73,3.3599999999999999,2.1800000000000002,4.9100000000000001,1.96,7
lamp,838,5.4100000000000001,1.0,3.7999999999999998,2.1200000000000001,5.2699999999999996,1.6100000000000001,18
lantern,839,5.5700000000000003,1.1899999999999999,4.0499999999999998,2.2799999999999998,5.0700000000000003,1.8200000000000001,13
lawn,841,5.2400000000000002,0.85999999999999999,4.0,1.79,5.3700000000000001,1.1100000000000001,15
lesbian,597,4.6699999999999999,2.4500000000000002,5.1200000000000001,2.27,5.3499999999999996,2.2000000000000002,.
lightbulb,566,5.6100000000000003,1.28,4.0999999999999996,2.02,5.8200000000000003,1.5600000000000001,.
lighthouse,847,5.8899999999999997,2.0800000000000001,4.4100000000000001,2.4399999999999999,5.25,2.02,.
limber,848,5.6799999999999997,1.49,4.5700000000000003,2.2599999999999998,5.3399999999999999,1.8400000000000001,2
locker,850,5.1900000000000004,1.3100000000000001,3.3799999999999999,2.1299999999999999,5.3600000000000003,1.8700000000000001,9
machine,855,5.0899999999999999,1.6699999999999999,3.8199999999999998,2.3999999999999999,5.2300000000000004,2.0600000000000001,103
manner,863,5.6399999999999997,1.3400000000000001,4.5599999999999996,1.78,5.0499999999999998,1.8300000000000001,124
mantel,864,4.9299999999999997,1.3999999999999999,3.27,2.23,4.9500000000000002,1.6100000000000001,3
market,866,5.6600000000000001,1.02,4.1200000000000001,1.8300000000000001,5.2699999999999996,1.3999999999999999,155
material,868,5.2599999999999998,1.29,4.0499999999999998,2.3399999999999999,5.1200000000000001,1.45,174
medicine,869,5.6699999999999999,2.0600000000000001,4.4000000000000004,2.3599999999999999,4.7000000000000002,1.9099999999999999,30
metal,874,4.9500000000000002,1.1699999999999999,3.79,1.96,5.3799999999999999,1.3999999999999999,61
method,875,5.5599999999999996,1.76,3.8500000000000001,2.5800000000000001,5.6699999999999999,1.5800000000000001,142
