description,word_no,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,word_frequency
bored,48,2.9500000000000002,1.3500000000000001,2.8300000000000001,2.3100000000000001,4.1100000000000003,1.7,14
broken,672,3.0499999999999998,1.9199999999999999,5.4299999999999997,2.4199999999999999,4.1399999999999997,1.6200000000000001,63
bullet,673,3.29,2.0600000000000001,5.3300000000000001,2.48,3.8999999999999999,2.6099999999999999,28
burdened,55,2.5,1.3200000000000001,5.6299999999999999,2.0699999999999998,5.0300000000000002,2.3500000000000001,4
burial,56,2.0499999999999998,1.4099999999999999,5.0800000000000001,2.3999999999999999,3.5499999999999998,1.95,11
burn,586,2.73,1.72,6.2199999999999998,1.9099999999999999,4.2199999999999998,1.8300000000000001,15
cane,677,4.0,1.8,4.2000000000000002,1.9299999999999999,4.2699999999999996,1.95,12
carcass,679,3.3399999999999999,1.9199999999999999,4.8300000000000001,2.0699999999999998,4.9000000000000004,1.79,7
cell,587,3.8199999999999998,1.7,4.0800000000000001,2.1899999999999999,4.1200000000000001,2.1299999999999999,65
cemetery,65,2.6299999999999999,1.3999999999999999,4.8200000000000003,2.6600000000000001,4.2699999999999996,2.1400000000000001,15
clumsy,689,4.0,2.2200000000000002,5.1799999999999997,2.3999999999999999,3.8599999999999999,1.79,6
cockroach,75,2.8100000000000001,2.1099999999999999,6.1100000000000003,2.7799999999999998,4.7400000000000002,2.5800000000000001,2
coffin,76,2.5600000000000001,1.96,5.0300000000000002,2.79,4.0800000000000001,2.54,7
cold,693,4.0199999999999996,1.99,5.1900000000000004,2.23,4.6900000000000004,1.73,171
confused,80,3.21,1.51,6.0300000000000002,1.8799999999999999,4.2400000000000002,1.9099999999999999,44
contempt,82,3.8500000000000001,2.1299999999999999,5.2800000000000002,2.04,5.1299999999999999,1.73,15
controlling,85,3.7999999999999998,2.25,6.0999999999999996,2.1899999999999999,5.1699999999999999,3.1499999999999999,23
corpse,86,2.1800000000000002,1.48,4.7400000000000002,2.9399999999999999,3.5899999999999999,2.4399999999999999,7
corrupt,702,3.3199999999999998,2.3199999999999998,4.6699999999999999,2.3500000000000001,4.6399999999999997,2.2999999999999998,8
coward,703,2.7400000000000002,1.6399999999999999,4.0700000000000003,2.1899999999999999,2.8300000000000001,1.6100000000000001,8
crime,704,2.8900000000000001,2.0600000000000001,5.4100000000000001,2.6899999999999999,4.1200000000000001,2.2400000000000002,34
criminal,705,2.9300000000000002,1.6599999999999999,4.79,2.5099999999999998,3.3399999999999999,1.73,24
crisis,706,2.7400000000000002,2.23,5.4400000000000004,3.0699999999999998,3.6000000000000001,2.4700000000000002,82
crude,707,3.1200000000000001,1.6499999999999999,5.0700000000000003,2.3700000000000001,4.2699999999999996,1.9399999999999999,15
cruel,92,1.97,1.6699999999999999,5.6799999999999997,2.6499999999999999,4.2400000000000002,2.8399999999999999,15
crushed,93,2.21,1.74,5.5199999999999996,2.8700000000000001,3.3599999999999999,2.6899999999999999,10
crutch,708,3.4300000000000002,1.6200000000000001,4.1399999999999997,2.0499999999999998,3.9100000000000001,1.79,1
cut,711,3.6400000000000001,2.0800000000000001,5.0,2.3199999999999998,4.7000000000000002,1.98,192
dagger,99,3.3799999999999999,1.77,6.1399999999999997,2.6400000000000001,4.5199999999999996,2.27,1
damage,712,3.0499999999999998,1.6499999999999999,5.5700000000000003,2.2599999999999998,3.8799999999999999,1.8600000000000001,33
dead,588,1.9399999999999999,1.76,5.7300000000000004,2.73,2.8399999999999999,2.3199999999999998,174
death,100,1.6100000000000001,1.3999999999999999,4.5899999999999999,3.0699999999999998,3.4700000000000002,2.5,277
debt,101,2.2200000000000002,1.1699999999999999,5.6799999999999997,2.7400000000000002,3.02,2.1600000000000001,13
deceit,718,2.8999999999999999,1.6299999999999999,5.6799999999999997,2.46,3.9500000000000002,2.1200000000000001,2
decompose,102,3.2000000000000002,1.8100000000000001,4.6500000000000004,2.3900000000000001,4.0199999999999996,1.9099999999999999,1
defeated,103,2.3399999999999999,1.6599999999999999,5.0899999999999999,3.0,3.1099999999999999,2.3399999999999999,15
deformed,720,2.4100000000000001,1.6599999999999999,4.0700000000000003,2.3399999999999999,3.9500000000000002,2.1800000000000002,.
delayed,721,3.0699999999999998,1.74,5.6200000000000001,2.3900000000000001,3.6400000000000001,1.9399999999999999,25
dentist,589,4.0199999999999996,2.23,5.7300000000000004,2.1299999999999999,3.7999999999999998,2.1600000000000001,12
depressed,107,1.8300000000000001,1.4199999999999999,4.7199999999999998,2.9500000000000002,2.7400000000000002,2.1299999999999999,11
depression,108,1.8500000000000001,1.6699999999999999,4.54,3.1899999999999999,2.9100000000000001,2.27,24
deserter,109,2.4500000000000002,1.8,5.5,2.5499999999999998,3.77,2.29,.
despairing,110,2.4300000000000002,1.47,5.6799999999999997,2.3700000000000001,3.4300000000000002,2.1099999999999999,4
despise,111,2.0299999999999998,1.3799999999999999,6.2800000000000002,2.4300000000000002,4.7199999999999998,2.7999999999999998,7
destruction,723,3.1600000000000001,2.4399999999999999,5.8200000000000003,2.71,3.9300000000000002,2.29,38
detached,113,3.8599999999999999,1.8799999999999999,4.2599999999999998,2.5699999999999998,3.6299999999999999,2.1499999999999999,12
detest,114,2.1699999999999999,1.3,6.0599999999999996,2.3900000000000001,5.8300000000000001,2.6000000000000001,1
devil,115,2.21,1.99,6.0700000000000003,2.6099999999999999,5.3499999999999996,2.75,25
dirt,725,4.1699999999999999,1.77,3.7599999999999998,2.2599999999999998,4.8300000000000001,1.8200000000000001,43
dirty,590,3.0800000000000001,2.0499999999999998,4.8799999999999999,2.29,4.7000000000000002,2.1200000000000001,36
