description,word_no,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,word_frequency
butterfly,58,7.1699999999999999,1.2,3.4700000000000002,2.3900000000000001,4.6500000000000004,2.27,2
cake,59,7.2599999999999998,1.27,5.0,2.3700000000000001,5.1600000000000001,2.0499999999999998,9
capable,62,7.1600000000000001,1.3899999999999999,5.0800000000000001,2.0699999999999998,6.4699999999999998,1.9399999999999999,66
car,551,7.7300000000000004,1.6299999999999999,6.2400000000000002,2.04,6.9800000000000004,2.0600000000000001,274
carefree,63,7.54,1.3799999999999999,4.1699999999999999,2.8399999999999999,5.7800000000000002,2.5,9
caress,64,7.8399999999999999,1.1599999999999999,5.1399999999999997,3.0,5.8300000000000001,2.1299999999999999,1
casino,680,6.8099999999999996,1.6599999999999999,6.5099999999999998,2.1200000000000001,5.1200000000000001,2.1499999999999999,2
champ,682,7.1799999999999997,1.97,6.0,2.4300000000000002,6.7699999999999996,2.0,1
charm,68,6.7699999999999996,1.5800000000000001,5.1600000000000001,2.25,5.5700000000000003,2.25,26
cheer,69,8.0999999999999996,1.1699999999999999,6.1200000000000001,2.4500000000000002,6.0,2.0600000000000001,8
child,70,7.0800000000000001,1.98,5.5499999999999998,2.29,5.0999999999999996,2.2999999999999998,213
chocolate,505,6.8799999999999999,1.8899999999999999,5.29,2.5499999999999998,5.1799999999999997,1.97,9
christmas,686,7.7999999999999998,1.55,6.2699999999999996,2.5600000000000001,5.3700000000000001,2.0899999999999999,27
circus,72,7.2999999999999998,1.8400000000000001,5.9699999999999998,2.5899999999999999,5.3899999999999997,2.25,7
color,694,7.0199999999999996,1.5700000000000001,4.7300000000000004,2.6400000000000001,6.1699999999999999,1.8200000000000001,141
comfort,696,7.0700000000000003,2.1400000000000001,3.9300000000000002,2.8500000000000001,5.7000000000000002,2.0499999999999998,43
confident,79,7.9800000000000004,1.29,6.2199999999999998,2.4100000000000001,7.6799999999999997,1.9399999999999999,16
couple,506,7.4100000000000001,1.97,6.3899999999999997,2.3100000000000001,6.0199999999999996,2.2799999999999998,122
crown,90,6.5800000000000001,1.4199999999999999,4.2800000000000002,2.5299999999999998,6.0599999999999996,2.1499999999999999,19
cuddle,94,7.7199999999999998,1.9199999999999999,4.4000000000000004,2.6699999999999999,5.8499999999999996,2.4199999999999999,.
cuisine,709,6.6399999999999997,1.48,4.3899999999999997,1.99,5.4100000000000001,1.1899999999999999,1
cute,97,7.6200000000000001,1.01,5.5300000000000002,2.71,4.8600000000000003,2.3199999999999998,5
dancer,507,7.1399999999999997,1.5600000000000001,6.0,2.2000000000000002,6.0199999999999996,1.9299999999999999,31
daylight,716,6.7999999999999998,2.1699999999999999,4.7699999999999996,2.5,5.4800000000000004,2.1400000000000001,15
dazzle,717,7.29,1.0900000000000001,6.3300000000000001,2.02,5.6200000000000001,1.8100000000000001,1
decorate,719,6.9299999999999997,1.3,5.1399999999999997,2.3900000000000001,6.0499999999999998,1.8600000000000001,2
delight,105,8.2599999999999998,1.04,5.4400000000000004,2.8799999999999999,5.79,2.2400000000000002,29
desire,508,7.6900000000000004,1.3899999999999999,7.3499999999999996,1.76,6.4900000000000002,1.8300000000000001,79
devoted,116,7.4100000000000001,1.3700000000000001,5.2300000000000004,2.21,6.1799999999999997,2.3599999999999999,51
diamond,117,7.9199999999999999,1.2,5.5300000000000002,2.96,5.54,2.2799999999999998,8
dignified,118,7.0999999999999996,1.26,4.1200000000000001,2.29,6.1200000000000001,2.3999999999999999,7
dinner,509,7.1600000000000001,1.5,5.4299999999999997,2.1400000000000001,6.0999999999999996,1.8700000000000001,91
diploma,119,8.0,1.3899999999999999,5.6699999999999999,2.7999999999999998,6.7599999999999998,2.5,.
dog,511,7.5700000000000003,1.6599999999999999,5.7599999999999998,2.5,6.25,2.1000000000000001,75
dollar,729,7.4699999999999998,1.72,6.0700000000000003,2.6699999999999999,6.3300000000000001,2.4199999999999999,46
dove,730,6.9000000000000004,1.54,3.79,2.2799999999999998,5.4800000000000004,1.7,4
dream,132,6.7300000000000004,1.75,4.5300000000000002,2.7200000000000002,5.5300000000000002,1.98,64
earth,134,7.1500000000000004,1.6699999999999999,4.2400000000000002,2.4900000000000002,5.6100000000000003,2.2999999999999998,150
easy,734,7.0999999999999996,1.9099999999999999,4.4800000000000004,2.8199999999999998,7.0,1.6299999999999999,125
easygoing,135,7.2000000000000002,1.5,4.2999999999999998,2.52,5.25,1.75,1
eat,136,7.4699999999999998,1.73,5.6900000000000004,2.5099999999999998,5.5999999999999996,2.1200000000000001,61
education,137,6.6900000000000004,1.77,5.7400000000000002,2.46,6.1500000000000004,2.3500000000000001,214
elated,138,7.4500000000000002,1.77,6.21,2.2999999999999998,5.5300000000000002,2.3500000000000001,3
elegant,139,7.4299999999999997,1.26,4.5300000000000002,2.6499999999999999,5.9500000000000002,2.0899999999999999,14
engaged,143,8.0,1.3799999999999999,6.7699999999999996,2.0699999999999998,6.4900000000000002,2.2200000000000002,47
enjoyment,145,7.7999999999999998,1.2,5.2000000000000002,2.7200000000000002,6.46,1.77,21
erotic,512,7.4299999999999997,1.53,7.2400000000000002,1.97,6.3899999999999997,2.1600000000000001,8
exercise,155,7.1299999999999999,1.5800000000000001,6.8399999999999999,2.0600000000000001,5.6799999999999997,2.4399999999999999,58
fame,157,7.9299999999999997,1.29,6.5499999999999998,2.46,6.8499999999999996,2.1400000000000001,18
family,158,7.6500000000000004,1.55,4.7999999999999998,2.71,6.0,1.8700000000000001,331
famous,745,6.9800000000000004,2.0699999999999998,5.7300000000000004,2.6800000000000002,6.3200000000000003,2.1800000000000002,89
fantasy,746,7.4100000000000001,1.8999999999999999,5.1399999999999997,2.8199999999999998,6.4299999999999997,2.0499999999999998,14
fascinate,159,7.3399999999999999,1.6799999999999999,5.8300000000000001,2.73,6.1500000000000004,1.8899999999999999,3
father,161,7.0800000000000001,2.2000000000000002,5.9199999999999999,2.6000000000000001,5.6299999999999999,2.8900000000000001,383
festive,749,7.2999999999999998,2.2599999999999998,6.5800000000000001,2.29,5.7699999999999996,2.3399999999999999,2
fireworks,513,7.5499999999999998,1.5,6.6699999999999999,2.1200000000000001,5.5099999999999998,1.98,5
flirt,754,7.5199999999999996,1.1899999999999999,6.9100000000000001,1.6899999999999999,6.2400000000000002,2.3300000000000001,1
flower,168,6.6399999999999997,1.78,4.0,2.4399999999999999,4.9800000000000004,2.1699999999999999,23
food,514,7.6500000000000004,1.3700000000000001,5.9199999999999999,2.1099999999999999,6.1799999999999997,2.48,147
free,172,8.2599999999999998,1.3100000000000001,5.1500000000000004,3.04,6.3499999999999996,2.3999999999999999,260
freedom,173,7.5800000000000001,2.04,5.5199999999999996,2.7200000000000002,6.7599999999999998,2.29,128
friend,174,7.7400000000000002,1.24,5.7400000000000002,2.5699999999999998,6.7400000000000002,1.8899999999999999,133
game,760,6.9800000000000004,1.97,5.8899999999999997,2.3700000000000001,5.7000000000000002,1.6499999999999999,123
garden,761,6.71,1.74,4.3899999999999997,2.3500000000000001,6.0199999999999996,1.71,60
gift,184,7.7699999999999996,2.2400000000000002,6.1399999999999997,2.7599999999999998,5.5199999999999996,2.54,33
girl,185,6.8700000000000001,1.6399999999999999,4.29,2.6899999999999999,5.7999999999999998,2.1600000000000001,220
glamour,187,6.7599999999999998,1.6000000000000001,4.6799999999999997,2.23,5.7599999999999998,2.4900000000000002,5
glory,189,7.5499999999999998,1.6799999999999999,6.0199999999999996,2.71,6.8499999999999996,2.23,21
god,190,8.1500000000000004,1.27,5.9500000000000002,2.8399999999999999,5.8799999999999999,2.8900000000000001,318
gold,191,7.54,1.6299999999999999,5.7599999999999998,2.79,5.8499999999999996,2.46,52
good,766,7.4699999999999998,1.45,5.4299999999999997,2.8500000000000001,6.4100000000000001,2.0499999999999998,807
graduate,192,8.1899999999999995,1.1299999999999999,7.25,2.25,6.9400000000000004,2.4399999999999999,30
grateful,193,7.3700000000000001,0.96999999999999997,4.5800000000000001,2.1400000000000001,6.1799999999999997,1.77,25
greet,770,7.0,1.52,5.2699999999999996,2.3100000000000001,5.9500000000000002,2.0699999999999998,7
grin,773,7.4000000000000004,1.8700000000000001,5.2699999999999996,2.6400000000000001,6.0,1.8600000000000001,13
handsome,199,7.9299999999999997,1.47,5.9500000000000002,2.73,5.1900000000000004,2.2200000000000002,40
happy,200,8.2100000000000009,1.8200000000000001,6.4900000000000002,2.77,6.6299999999999999,2.4300000000000002,98
heal,786,7.0899999999999999,1.46,4.7699999999999996,2.23,5.79,1.8,2
health,204,6.8099999999999996,1.8799999999999999,5.1299999999999999,2.3500000000000001,5.8300000000000001,1.9099999999999999,105
heart,787,7.3899999999999997,1.53,6.3399999999999999,2.25,5.4900000000000002,2.1099999999999999,173
heaven,205,7.2999999999999998,2.3900000000000001,5.6100000000000003,3.2000000000000002,6.1500000000000004,2.5600000000000001,43
holiday,791,7.5499999999999998,2.1400000000000001,6.5899999999999999,2.73,6.2999999999999998,2.1699999999999999,17
home,209,7.9100000000000001,1.6299999999999999,4.21,2.9399999999999999,5.9000000000000004,2.2999999999999998,547
honest,210,7.7000000000000002,1.4299999999999999,5.3200000000000003,1.9199999999999999,6.2400000000000002,2.1299999999999999,47
honey,792,6.7300000000000004,1.7,4.5099999999999998,2.25,5.4400000000000004,1.47,25
honor,211,7.6600000000000001,1.24,5.9000000000000004,1.8300000000000001,6.7000000000000002,2.04,66
hope,794,7.0499999999999998,1.96,5.4400000000000004,2.4700000000000002,5.5199999999999996,2.2000000000000002,178
hopeful,212,7.0999999999999996,1.46,5.7800000000000002,2.0899999999999999,5.4100000000000001,1.9199999999999999,12
house,563,7.2599999999999998,1.72,4.5599999999999996,2.4100000000000001,6.0800000000000001,2.1200000000000001,591
hug,218,8.0,1.55,5.3499999999999996,2.7599999999999998,5.79,2.4100000000000001,3
humane,796,6.8899999999999997,1.7,4.5,1.9099999999999999,5.7000000000000002,1.9099999999999999,5
idea,800,7.0,1.3400000000000001,5.8600000000000003,1.8100000000000001,6.2599999999999998,2.0,195
identity,801,6.5700000000000003,1.99,4.9500000000000002,2.2400000000000002,6.4000000000000004,1.8899999999999999,55
imagine,805,7.3200000000000003,1.52,5.9800000000000004,2.1400000000000001,7.0700000000000003,1.99,61
impressed,225,7.3300000000000001,1.8400000000000001,5.4199999999999999,2.6499999999999999,5.5099999999999998,2.21,30
improve,226,7.6500000000000004,1.1599999999999999,5.6900000000000004,2.1499999999999999,6.0800000000000001,2.25,39
incentive,809,7.0,1.72,5.6900000000000004,2.4500000000000002,5.9299999999999997,2.02,12
infant,811,6.9500000000000002,2.0800000000000001,5.0499999999999998,2.6600000000000001,5.6699999999999999,2.48,11
infatuation,516,6.7300000000000004,2.0800000000000001,7.0199999999999996,1.8700000000000001,4.9000000000000004,2.2799999999999998,4
inspire,232,6.9699999999999998,1.9099999999999999,5.0,2.5299999999999998,6.3399999999999999,2.1099999999999999,3
inspired,233,7.1500000000000004,1.8500000000000001,6.0199999999999996,2.6699999999999999,6.6699999999999999,2.3100000000000001,25
intellect,818,6.8200000000000003,1.96,4.75,2.5,6.2999999999999998,1.98,5
intercourse,819,7.3600000000000003,1.5700000000000001,7.0,2.0699999999999998,6.4000000000000004,1.78,9
interest,234,6.9699999999999998,1.53,5.6600000000000001,2.2599999999999998,5.8799999999999999,1.78,330
intimate,821,7.6100000000000003,1.51,6.9800000000000004,2.21,5.8600000000000003,2.29,21
jewel,239,7.0,1.72,5.3799999999999999,2.54,5.5899999999999999,2.1899999999999999,1
joke,826,8.0999999999999996,1.3600000000000001,6.7400000000000002,1.8400000000000001,6.1500000000000004,1.8600000000000001,22
jolly,827,7.4100000000000001,1.9199999999999999,5.5700000000000003,2.7999999999999998,6.3899999999999997,1.72,4
joyful,241,8.2200000000000006,1.22,5.9800000000000004,2.54,6.5999999999999996,1.8,1
